inventory_id,product_id,snapshot_date,warehouse_id,quantity_on_hand,quantity_reserved,reorder_triggered,unit_cost_snapshot,created_at,reorder_point,reorder_quantity,quantity_available,is_below_reorder
1,1,2024-01-01,WH-002,127,6,False,646.83,2024-01-01,71,142,121,False
2,1,2024-01-02,WH-002,124,6,False,632.92,2024-01-02,71,142,118,False
3,1,2024-01-03,WH-002,121,28,False,625.39,2024-01-03,71,142,93,False
4,1,2024-01-04,WH-002,120,12,False,642.58,2024-01-04,71,142,108,False
5,1,2024-01-05,WH-002,119,6,False,612.51,2024-01-05,71,142,113,False
6,1,2024-01-06,WH-002,116,23,False,640.27,2024-01-06,71,142,93,False
7,1,2024-01-07,WH-002,115,13,False,614.79,2024-01-07,71,142,102,False
8,1,2024-01-08,WH-002,114,8,False,636.72,2024-01-08,71,142,106,False
9,1,2024-01-09,WH-002,112,15,False,645.98,2024-01-09,71,142,97,False
10,1,2024-01-10,WH-002,111,21,False,642.83,2024-01-10,71,142,90,False
11,1,2024-01-11,WH-002,109,6,False,624.24,2024-01-11,71,142,103,False
12,1,2024-01-12,WH-002,108,6,False,643.29,2024-01-12,71,142,102,False
13,1,2024-01-13,WH-002,107,16,False,626.63,2024-01-13,71,142,91,False
14,1,2024-01-14,WH-002,106,13,False,617.99,2024-01-14,71,142,93,False
15,1,2024-01-15,WH-002,106,10,False,641.34,2024-01-15,71,142,96,False
16,1,2024-01-16,WH-002,106,2,False,621.12,2024-01-16,71,142,104,False
17,1,2024-01-17,WH-002,106,24,False,629.61,2024-01-17,71,142,82,False
18,1,2024-01-18,WH-002,106,18,False,618.26,2024-01-18,71,142,88,False
19,1,2024-01-19,WH-002,106,21,False,622.49,2024-01-19,71,142,85,False
20,1,2024-01-20,WH-002,106,3,False,611.61,2024-01-20,71,142,103,False
21,1,2024-01-21,WH-002,106,7,False,620.11,2024-01-21,71,142,99,False
22,1,2024-01-22,WH-002,106,22,False,645.88,2024-01-22,71,142,84,False
23,1,2024-01-23,WH-002,106,21,False,632.3,2024-01-23,71,142,85,False
24,1,2024-01-24,WH-002,106,10,False,625.98,2024-01-24,71,142,96,False
25,1,2024-01-25,WH-002,104,17,False,621.8,2024-01-25,71,142,87,False
26,1,2024-01-26,WH-002,102,4,False,636.64,2024-01-26,71,142,98,False
27,1,2024-01-27,WH-002,101,1,False,632.52,2024-01-27,71,142,100,False
28,1,2024-01-28,WH-002,99,16,False,619.03,2024-01-28,71,142,83,False
29,1,2024-01-29,WH-002,97,9,False,611.56,2024-01-29,71,142,88,False
30,1,2024-01-30,WH-002,96,5,False,647.42,2024-01-30,71,142,91,False
31,1,2024-01-31,WH-002,93,15,False,627.15,2024-01-31,71,142,78,False
32,1,2024-02-01,WH-002,89,11,False,618.97,2024-02-01,71,142,78,False
33,1,2024-02-02,WH-002,88,19,False,614.45,2024-02-02,71,142,69,True
34,1,2024-02-03,WH-002,85,15,False,622.42,2024-02-03,71,142,70,True
35,1,2024-02-04,WH-002,84,20,False,648.63,2024-02-04,71,142,64,True
36,1,2024-02-05,WH-002,82,5,False,633.55,2024-02-05,71,142,77,False
37,1,2024-02-06,WH-002,81,16,False,641.47,2024-02-06,71,142,65,True
38,1,2024-02-07,WH-002,79,13,False,635.45,2024-02-07,71,142,66,True
39,1,2024-02-08,WH-002,77,3,False,633.77,2024-02-08,71,142,74,False
40,1,2024-02-09,WH-002,75,5,False,612.5,2024-02-09,71,142,70,True
41,1,2024-02-10,WH-002,74,11,False,616.26,2024-02-10,71,142,63,True
42,1,2024-02-11,WH-002,74,7,False,612.98,2024-02-11,71,142,67,True
43,1,2024-02-12,WH-002,73,6,False,637.23,2024-02-12,71,142,67,True
44,1,2024-02-13,WH-002,70,11,True,623.61,2024-02-13,71,142,59,True
45,1,2024-02-14,WH-002,65,7,False,645.26,2024-02-14,71,142,58,True
46,1,2024-02-15,WH-002,63,3,False,648.66,2024-02-15,71,142,60,True
47,1,2024-02-16,WH-002,61,11,False,648.02,2024-02-16,71,142,50,True
48,1,2024-02-17,WH-002,60,13,False,618.64,2024-02-17,71,142,47,True
49,1,2024-02-18,WH-002,59,14,False,616.61,2024-02-18,71,142,45,True
50,1,2024-02-19,WH-002,56,11,False,620.22,2024-02-19,71,142,45,True
51,1,2024-02-20,WH-002,53,4,False,644.07,2024-02-20,71,142,49,True
52,1,2024-02-21,WH-002,49,1,False,612.66,2024-02-21,71,142,48,True
53,1,2024-02-22,WH-002,45,5,False,624.75,2024-02-22,71,142,40,True
54,1,2024-02-23,WH-002,42,1,False,647.23,2024-02-23,71,142,41,True
55,1,2024-02-24,WH-002,182,16,False,620.51,2024-02-24,71,142,166,False
56,1,2024-02-25,WH-002,179,32,False,623.74,2024-02-25,71,142,147,False
57,1,2024-02-26,WH-002,175,2,False,637.31,2024-02-26,71,142,173,False
58,1,2024-02-27,WH-002,173,11,False,648.16,2024-02-27,71,142,162,False
59,1,2024-02-28,WH-002,170,24,False,616.46,2024-02-28,71,142,146,False
60,1,2024-02-29,WH-002,169,13,False,638.0,2024-02-29,71,142,156,False
61,1,2024-03-01,WH-002,164,25,False,637.88,2024-03-01,71,142,139,False
62,1,2024-03-02,WH-002,162,19,False,643.82,2024-03-02,71,142,143,False
63,1,2024-03-03,WH-002,161,14,False,631.57,2024-03-03,71,142,147,False
64,1,2024-03-04,WH-002,158,30,False,646.2,2024-03-04,71,142,128,False
65,1,2024-03-05,WH-002,157,16,False,637.47,2024-03-05,71,142,141,False
66,1,2024-03-06,WH-002,156,10,False,628.24,2024-03-06,71,142,146,False
67,1,2024-03-07,WH-002,153,19,False,634.19,2024-03-07,71,142,134,False
68,1,2024-03-08,WH-002,150,15,False,616.96,2024-03-08,71,142,135,False
69,1,2024-03-09,WH-002,149,22,False,625.04,2024-03-09,71,142,127,False
70,1,2024-03-10,WH-002,149,3,False,642.22,2024-03-10,71,142,146,False
71,1,2024-03-11,WH-002,146,35,False,646.21,2024-03-11,71,142,111,False
72,1,2024-03-12,WH-002,144,21,False,625.93,2024-03-12,71,142,123,False
73,1,2024-03-13,WH-002,142,27,False,637.01,2024-03-13,71,142,115,False
74,1,2024-03-14,WH-002,140,12,False,641.78,2024-03-14,71,142,128,False
75,1,2024-03-15,WH-002,137,14,False,621.36,2024-03-15,71,142,123,False
76,1,2024-03-16,WH-002,136,6,False,619.01,2024-03-16,71,142,130,False
77,1,2024-03-17,WH-002,135,9,False,616.4,2024-03-17,71,142,126,False
78,1,2024-03-18,WH-002,133,10,False,647.39,2024-03-18,71,142,123,False
79,1,2024-03-19,WH-002,131,9,False,639.75,2024-03-19,71,142,122,False
80,1,2024-03-20,WH-002,130,32,False,637.63,2024-03-20,71,142,98,False
81,1,2024-03-21,WH-002,127,28,False,617.44,2024-03-21,71,142,99,False
82,1,2024-03-22,WH-002,125,6,False,614.69,2024-03-22,71,142,119,False
83,1,2024-03-23,WH-002,124,6,False,634.13,2024-03-23,71,142,118,False
84,1,2024-03-24,WH-002,123,2,False,616.85,2024-03-24,71,142,121,False
85,1,2024-03-25,WH-002,121,2,False,626.25,2024-03-25,71,142,119,False
86,1,2024-03-26,WH-002,120,28,False,612.71,2024-03-26,71,142,92,False
87,1,2024-03-27,WH-002,117,23,False,645.23,2024-03-27,71,142,94,False
88,1,2024-03-28,WH-002,110,25,False,617.51,2024-03-28,71,142,85,False
89,1,2024-03-29,WH-002,109,17,False,619.34,2024-03-29,71,142,92,False
90,1,2024-03-30,WH-002,108,22,False,620.71,2024-03-30,71,142,86,False
91,1,2024-03-31,WH-002,105,10,False,637.22,2024-03-31,71,142,95,False
92,1,2024-04-01,WH-002,104,7,False,623.02,2024-04-01,71,142,97,False
93,1,2024-04-02,WH-002,101,4,False,620.15,2024-04-02,71,142,97,False
94,1,2024-04-03,WH-002,98,3,False,612.42,2024-04-03,71,142,95,False
95,1,2024-04-04,WH-002,95,10,False,648.8,2024-04-04,71,142,85,False
96,1,2024-04-05,WH-002,92,1,False,624.75,2024-04-05,71,142,91,False
97,1,2024-04-06,WH-002,91,11,False,639.89,2024-04-06,71,142,80,False
98,1,2024-04-07,WH-002,90,16,False,630.19,2024-04-07,71,142,74,False
99,1,2024-04-08,WH-002,89,4,False,634.89,2024-04-08,71,142,85,False
100,1,2024-04-09,WH-002,84,18,False,645.79,2024-04-09,71,142,66,True
101,1,2024-04-10,WH-002,82,8,False,614.07,2024-04-10,71,142,74,False
102,1,2024-04-11,WH-002,81,12,False,618.45,2024-04-11,71,142,69,True
103,1,2024-04-12,WH-002,78,0,False,645.73,2024-04-12,71,142,78,False
104,1,2024-04-13,WH-002,76,7,False,645.51,2024-04-13,71,142,69,True
105,1,2024-04-14,WH-002,74,4,False,620.04,2024-04-14,71,142,70,True
106,1,2024-04-15,WH-002,71,7,True,631.05,2024-04-15,71,142,64,True
107,1,2024-04-16,WH-002,69,6,False,614.14,2024-04-16,71,142,63,True
108,1,2024-04-17,WH-002,67,5,False,646.05,2024-04-17,71,142,62,True
109,1,2024-04-18,WH-002,64,8,False,643.2,2024-04-18,71,142,56,True
110,1,2024-04-19,WH-002,62,10,False,616.64,2024-04-19,71,142,52,True
111,1,2024-04-20,WH-002,62,10,False,628.91,2024-04-20,71,142,52,True
112,1,2024-04-21,WH-002,62,10,False,640.31,2024-04-21,71,142,52,True
113,1,2024-04-22,WH-002,59,6,False,616.25,2024-04-22,71,142,53,True
114,1,2024-04-23,WH-002,54,12,False,635.62,2024-04-23,71,142,42,True
115,1,2024-04-24,WH-002,53,5,False,629.37,2024-04-24,71,142,48,True
116,1,2024-04-25,WH-002,51,5,False,626.83,2024-04-25,71,142,46,True
