sale_id,product_id,sale_date,quantity_sold,unit_price,channel,region,discount_pct,is_returned,created_at,revenue,net_quantity,year,month,week,dow
1,1,2024-01-01,1,823.88,wholesale,North,5.0,False,2024-01-01,782.69,1,2024,1,1,0
385,2,2024-01-01,1,64.16,retail,West,0.0,False,2024-01-01,64.16,1,2024,1,1,0
386,2,2024-01-01,22,64.16,online,South,0.0,False,2024-01-01,1411.52,22,2024,1,1,0
1030,3,2024-01-01,2,33.07,retail,West,0.0,False,2024-01-01,66.14,2,2024,1,1,0
1624,4,2024-01-01,1,587.7,retail,North,0.0,False,2024-01-01,587.7,1,2024,1,1,0
1931,5,2024-01-01,3,493.84,retail,Central,0.0,False,2024-01-01,1481.52,3,2024,1,1,0
2492,6,2024-01-01,2,245.96,online,Central,15.0,False,2024-01-01,418.13,2,2024,1,1,0
3072,7,2024-01-01,3,22.33,online,Central,0.0,False,2024-01-01,66.99,3,2024,1,1,0
3669,8,2024-01-01,1,114.43,online,West,10.0,False,2024-01-01,102.99,1,2024,1,1,0
4272,9,2024-01-01,1,244.14,retail,East,0.0,False,2024-01-01,244.14,1,2024,1,1,0
4863,10,2024-01-01,1,102.69,online,East,5.0,False,2024-01-01,97.56,1,2024,1,1,0
5342,11,2024-01-01,18,9.03,retail,Central,0.0,False,2024-01-01,162.54,18,2024,1,1,0
5942,12,2024-01-01,1,384.17,online,East,0.0,False,2024-01-01,384.17,1,2024,1,1,0
6578,14,2024-01-01,3,117.71,online,Central,0.0,False,2024-01-01,353.13,3,2024,1,1,0
7169,15,2024-01-01,1,7.27,retail,East,0.0,False,2024-01-01,7.27,1,2024,1,1,0
7170,15,2024-01-01,2,6.54,online,West,10.0,False,2024-01-01,11.77,2,2024,1,1,0
7774,16,2024-01-01,3,397.12,online,North,10.0,False,2024-01-01,1072.22,3,2024,1,1,0
8340,17,2024-01-01,1,506.43,online,South,10.0,False,2024-01-01,455.79,1,2024,1,1,0
8836,18,2024-01-01,2,204.73,retail,North,5.0,False,2024-01-01,388.99,2,2024,1,1,0
9438,19,2024-01-01,7,40.43,retail,Central,0.0,False,2024-01-01,283.01,7,2024,1,1,0
9439,19,2024-01-01,4,40.43,retail,North,0.0,False,2024-01-01,161.72,4,2024,1,1,0
9440,19,2024-01-01,2,40.43,retail,West,0.0,False,2024-01-01,80.86,2,2024,1,1,0
10053,20,2024-01-01,1,140.74,online,East,0.0,False,2024-01-01,140.74,1,2024,1,1,0
10485,21,2024-01-01,2,273.22,retail,North,5.0,False,2024-01-01,519.12,2,2024,1,1,0
10894,22,2024-01-01,1,33.1,online,East,0.0,False,2024-01-01,33.1,1,2024,1,1,0
10895,22,2024-01-01,10,31.45,retail,Central,5.0,False,2024-01-01,298.77,10,2024,1,1,0
10896,22,2024-01-01,6,31.45,online,North,5.0,False,2024-01-01,179.26,6,2024,1,1,0
11507,23,2024-01-01,1,34.14,wholesale,West,0.0,True,2024-01-01,34.14,0,2024,1,1,0
11508,23,2024-01-01,8,32.43,retail,Central,5.0,False,2024-01-01,246.47,8,2024,1,1,0
11509,23,2024-01-01,25,29.02,retail,East,15.0,False,2024-01-01,616.67,25,2024,1,1,0
12149,24,2024-01-01,2,293.47,retail,North,0.0,False,2024-01-01,586.94,2,2024,1,1,0
12747,25,2024-01-01,4,82.85,online,Central,0.0,False,2024-01-01,331.4,4,2024,1,1,0
13338,26,2024-01-01,2,69.11,online,South,0.0,False,2024-01-01,138.22,2,2024,1,1,0
13983,27,2024-01-01,5,32.45,online,North,5.0,False,2024-01-01,154.14,5,2024,1,1,0
14603,28,2024-01-01,4,311.96,online,North,10.0,False,2024-01-01,1123.06,4,2024,1,1,0
15194,29,2024-01-01,1,219.49,online,West,0.0,False,2024-01-01,219.49,1,2024,1,1,0
15648,30,2024-01-01,1,104.2,retail,South,20.0,False,2024-01-01,83.36,1,2024,1,1,0
16652,32,2024-01-01,1,516.69,online,Central,0.0,False,2024-01-01,516.69,1,2024,1,1,0
17180,33,2024-01-01,2,400.11,wholesale,North,0.0,False,2024-01-01,800.22,2,2024,1,1,0
17798,34,2024-01-01,1,281.0,online,Central,0.0,False,2024-01-01,281.0,1,2024,1,1,0
18161,35,2024-01-01,17,26.23,online,South,20.0,False,2024-01-01,356.73,17,2024,1,1,0
18765,36,2024-01-01,2,188.79,retail,West,0.0,False,2024-01-01,377.58,2,2024,1,1,0
19514,38,2024-01-01,4,91.43,online,East,0.0,False,2024-01-01,365.72,4,2024,1,1,0
19515,38,2024-01-01,4,91.43,retail,North,0.0,False,2024-01-01,365.72,4,2024,1,1,0
20123,39,2024-01-01,26,15.16,retail,East,20.0,False,2024-01-01,315.33,26,2024,1,1,0
20706,40,2024-01-01,1,338.86,retail,East,0.0,False,2024-01-01,338.86,1,2024,1,1,0
2,1,2024-01-02,3,867.24,retail,Central,0.0,False,2024-01-02,2601.72,3,2024,1,1,1
387,2,2024-01-02,21,64.16,wholesale,Central,0.0,False,2024-01-02,1347.36,21,2024,1,1,1
1031,3,2024-01-02,4,33.07,online,North,0.0,False,2024-01-02,132.28,4,2024,1,1,1
1032,3,2024-01-02,2,33.07,retail,North,0.0,False,2024-01-02,66.14,2,2024,1,1,1
1033,3,2024-01-02,5,33.07,online,West,0.0,False,2024-01-02,165.35,5,2024,1,1,1
1932,5,2024-01-02,2,444.46,retail,East,10.0,False,2024-01-02,800.03,2,2024,1,1,1
1933,5,2024-01-02,4,493.84,retail,South,0.0,True,2024-01-02,1975.36,0,2024,1,1,1
1934,5,2024-01-02,2,493.84,retail,East,0.0,False,2024-01-02,987.68,2,2024,1,1,1
2493,6,2024-01-02,2,245.96,retail,Central,15.0,False,2024-01-02,418.13,2,2024,1,1,1
2494,6,2024-01-02,2,274.9,online,North,5.0,False,2024-01-02,522.31,2,2024,1,1,1
3073,7,2024-01-02,7,21.21,retail,South,5.0,False,2024-01-02,141.05,7,2024,1,1,1
3670,8,2024-01-02,8,127.14,online,East,0.0,False,2024-01-02,1017.12,8,2024,1,1,1
4273,9,2024-01-02,2,244.14,retail,Central,0.0,False,2024-01-02,488.28,2,2024,1,1,1
4274,9,2024-01-02,4,244.14,online,Central,0.0,False,2024-01-02,976.56,4,2024,1,1,1
4864,10,2024-01-02,3,86.48,online,Central,20.0,False,2024-01-02,207.55,3,2024,1,1,1
5343,11,2024-01-02,13,9.03,online,Central,0.0,False,2024-01-02,117.39,13,2024,1,1,1
5943,12,2024-01-02,1,326.54,wholesale,West,15.0,False,2024-01-02,277.56,1,2024,1,1,1
6579,14,2024-01-02,2,117.71,online,West,0.0,False,2024-01-02,235.42,2,2024,1,1,1
6580,14,2024-01-02,3,100.05,online,West,15.0,False,2024-01-02,255.13,3,2024,1,1,1
7171,15,2024-01-02,9,7.27,retail,East,0.0,True,2024-01-02,65.43,0,2024,1,1,1
7172,15,2024-01-02,7,7.27,retail,West,0.0,False,2024-01-02,50.89,7,2024,1,1,1
7173,15,2024-01-02,26,7.27,retail,Central,0.0,False,2024-01-02,189.02,26,2024,1,1,1
7775,16,2024-01-02,19,441.25,online,South,0.0,False,2024-01-02,8383.75,19,2024,1,1,1
8341,17,2024-01-02,3,562.7,online,East,0.0,False,2024-01-02,1688.1,3,2024,1,1,1
8837,18,2024-01-02,1,215.51,retail,North,0.0,False,2024-01-02,215.51,1,2024,1,1,1
8838,18,2024-01-02,6,204.73,retail,South,5.0,False,2024-01-02,1166.96,6,2024,1,1,1
8839,18,2024-01-02,5,215.51,online,North,0.0,False,2024-01-02,1077.55,5,2024,1,1,1
9441,19,2024-01-02,9,34.37,retail,West,15.0,False,2024-01-02,262.93,9,2024,1,1,1
9442,19,2024-01-02,5,40.43,wholesale,Central,0.0,False,2024-01-02,202.15,5,2024,1,1,1
9443,19,2024-01-02,14,40.43,retail,Central,0.0,False,2024-01-02,566.02,14,2024,1,1,1
10054,20,2024-01-02,2,112.59,online,Central,20.0,False,2024-01-02,180.14,2,2024,1,1,1
10486,21,2024-01-02,1,287.6,retail,South,0.0,False,2024-01-02,287.6,1,2024,1,1,1
10897,22,2024-01-02,26,31.45,online,East,5.0,False,2024-01-02,776.82,26,2024,1,1,1
11510,23,2024-01-02,3,29.02,retail,Central,15.0,False,2024-01-02,74.0,3,2024,1,1,1
11511,23,2024-01-02,4,27.31,online,North,20.0,False,2024-01-02,87.39,4,2024,1,1,1
12150,24,2024-01-02,3,264.12,retail,West,10.0,False,2024-01-02,713.12,3,2024,1,1,1
12151,24,2024-01-02,2,293.47,retail,West,0.0,False,2024-01-02,586.94,2,2024,1,1,1
12152,24,2024-01-02,4,278.8,retail,West,5.0,False,2024-01-02,1059.44,4,2024,1,1,1
12748,25,2024-01-02,1,82.85,retail,South,0.0,False,2024-01-02,82.85,1,2024,1,1,1
12749,25,2024-01-02,1,82.85,wholesale,West,0.0,False,2024-01-02,82.85,1,2024,1,1,1
12750,25,2024-01-02,8,82.85,retail,West,0.0,False,2024-01-02,662.8,8,2024,1,1,1
13339,26,2024-01-02,9,65.65,retail,East,5.0,False,2024-01-02,561.31,9,2024,1,1,1
13340,26,2024-01-02,12,69.11,online,North,0.0,False,2024-01-02,829.32,12,2024,1,1,1
13984,27,2024-01-02,18,32.45,retail,Central,5.0,False,2024-01-02,554.9,18,2024,1,1,1
14604,28,2024-01-02,1,329.29,retail,South,5.0,False,2024-01-02,312.83,1,2024,1,1,1
14605,28,2024-01-02,5,346.62,retail,North,0.0,False,2024-01-02,1733.1,5,2024,1,1,1
14606,28,2024-01-02,1,346.62,online,South,0.0,False,2024-01-02,346.62,1,2024,1,1,1
15195,29,2024-01-02,1,175.59,wholesale,East,20.0,False,2024-01-02,140.47,1,2024,1,1,1
15196,29,2024-01-02,3,219.49,retail,North,0.0,False,2024-01-02,658.47,3,2024,1,1,1
15197,29,2024-01-02,3,208.52,retail,South,5.0,False,2024-01-02,594.28,3,2024,1,1,1
15649,30,2024-01-02,3,130.25,online,West,0.0,False,2024-01-02,390.75,3,2024,1,1,1
16033,31,2024-01-02,2,35.18,wholesale,North,0.0,False,2024-01-02,70.36,2,2024,1,1,1
16034,31,2024-01-02,5,28.14,wholesale,Central,20.0,False,2024-01-02,112.56,5,2024,1,1,1
16653,32,2024-01-02,2,439.19,retail,South,15.0,False,2024-01-02,746.62,2,2024,1,1,1
17181,33,2024-01-02,1,340.09,retail,East,15.0,False,2024-01-02,289.08,1,2024,1,1,1
17182,33,2024-01-02,6,380.1,retail,Central,5.0,False,2024-01-02,2166.57,6,2024,1,1,1
17799,34,2024-01-02,1,281.0,retail,East,0.0,False,2024-01-02,281.0,1,2024,1,1,1
18162,35,2024-01-02,1,29.51,retail,East,10.0,False,2024-01-02,26.56,1,2024,1,1,1
18163,35,2024-01-02,1,32.79,wholesale,East,0.0,False,2024-01-02,32.79,1,2024,1,1,1
18164,35,2024-01-02,4,27.87,retail,West,15.0,False,2024-01-02,94.76,4,2024,1,1,1
18766,36,2024-01-02,2,169.91,retail,West,10.0,False,2024-01-02,305.84,2,2024,1,1,1
19139,37,2024-01-02,2,299.26,online,North,20.0,False,2024-01-02,478.82,2,2024,1,1,1
19516,38,2024-01-02,8,91.43,retail,West,0.0,False,2024-01-02,731.44,8,2024,1,1,1
20124,39,2024-01-02,10,18.95,retail,South,0.0,False,2024-01-02,189.5,10,2024,1,1,1
20125,39,2024-01-02,7,17.05,retail,West,10.0,False,2024-01-02,107.42,7,2024,1,1,1
20126,39,2024-01-02,26,17.05,online,North,10.0,False,2024-01-02,398.97,26,2024,1,1,1
20707,40,2024-01-02,2,321.92,online,West,5.0,False,2024-01-02,611.65,2,2024,1,1,1
20708,40,2024-01-02,5,321.92,wholesale,West,5.0,False,2024-01-02,1529.12,5,2024,1,1,1
20709,40,2024-01-02,2,338.86,online,Central,0.0,False,2024-01-02,677.72,2,2024,1,1,1
3,1,2024-01-03,3,823.88,wholesale,North,5.0,False,2024-01-03,2348.06,3,2024,1,1,2
388,2,2024-01-03,4,60.95,online,Central,5.0,False,2024-01-03,231.61,4,2024,1,1,2
1034,3,2024-01-03,7,28.11,retail,East,15.0,False,2024-01-03,167.25,7,2024,1,1,2
1035,3,2024-01-03,15,33.07,online,Central,0.0,False,2024-01-03,496.05,15,2024,1,1,2
1036,3,2024-01-03,7,29.76,wholesale,South,10.0,False,2024-01-03,187.49,7,2024,1,1,2
1625,4,2024-01-03,2,587.7,retail,East,0.0,False,2024-01-03,1175.4,2,2024,1,1,2
1935,5,2024-01-03,1,444.46,wholesale,West,10.0,False,2024-01-03,400.01,1,2024,1,1,2
1936,5,2024-01-03,5,469.15,retail,Central,5.0,False,2024-01-03,2228.46,5,2024,1,1,2
2495,6,2024-01-03,3,289.37,online,West,0.0,False,2024-01-03,868.11,3,2024,1,1,2
3074,7,2024-01-03,5,18.98,online,West,15.0,False,2024-01-03,80.67,5,2024,1,1,2
3075,7,2024-01-03,17,17.86,retail,East,20.0,False,2024-01-03,242.9,17,2024,1,1,2
3671,8,2024-01-03,2,127.14,retail,West,0.0,False,2024-01-03,254.28,2,2024,1,1,2
4275,9,2024-01-03,2,244.14,online,Central,0.0,False,2024-01-03,488.28,2,2024,1,1,2
4276,9,2024-01-03,1,244.14,retail,Central,0.0,False,2024-01-03,244.14,1,2024,1,1,2
