feature,importance,std
lead_time_coverage,0.009002213485930522,0.0007334081500301893
demand_to_stock_ratio,0.007441133289777024,0.0008518543645419452
days_of_inventory,0.0072336776533669656,0.0006980029066137685
is_holiday_period,0.0021696480200659616,0.0001687387332116174
quantity_on_hand,0.0009056236435592835,0.00034817432923366564
quantity_available,0.0009052481582445648,0.0002785773075471243
inventory_turnover_30d,0.0006291256448960226,0.00017646563957816118
stockout_rate_30d,0.00057317833299535,0.000205437976536275
demand_std_30d,0.0005442190280938175,7.425757597791909e-05
month_cos,0.0004591716042985805,5.4842491117990366e-05
month,0.0002763571916702512,8.133499678811577e-05
avg_stock_30d,0.00025645646998743163,0.0001145888274436743
is_zero_stock,0.00021834471053835402,8.815407447559961e-05
reorder_point,0.0001901363762663255,4.660806001669831e-05
demand_mean_30d,0.00017891875248761125,4.756868798601641e-05
