feature,importance,std
hist_mean_delay_days,0.21840797189246364,0.03653241515676244
delay_var_x_mean,0.028618997922332197,0.004870025611937594
lag_2m_delay_mean,0.011744082097984002,0.001861349661718643
reliability_score,0.008625198332452266,0.0018830140948025774
hist_delay_variance,0.008496964529852501,0.0022091928555551216
payment_terms_days,0.00447026102865434,0.0012490360448644256
rolling_delay_std_3m,0.0035777799692523803,0.0010004976599534724
reliability_x_ontime,0.003350199463986788,0.0007767597279290149
rolling_on_time_rate_3m,0.002062242328776863,0.0007908638636200856
lag_1m_delay_mean,0.001719837935378371,0.0015317430441216077
delay_trend_3m,0.0009898275245130233,0.0010832807506998856
rolling_delay_mean_3m,0.0005206921045728015,0.00029520445081179087
delay_spike_flag,7.87237978113614e-05,8.720928945062965e-05
orders_evaluated,0.0,0.0
region_Europe,0.0,0.0
