forecast_id,product_id,forecast_date,generated_at,model_name,model_version,predicted_demand,lower_bound_95,upper_bound_95,actual_demand,mae,mape,confidence_score,horizon_days
1,1,2024-10-01,2024-09-24,xgboost_demand_v1,1.0.0,4.51,3.61,5.41,4.0,0.51,10.2,0.976,7
2,1,2024-10-02,2024-09-25,xgboost_demand_v1,1.0.0,3.79,3.03,4.55,4.0,0.21,4.2,0.8624,7
3,1,2024-10-03,2024-09-26,xgboost_demand_v1,1.0.0,4.02,3.22,4.82,1.0,3.02,100.0,0.9137,7
4,1,2024-10-04,2024-09-27,xgboost_demand_v1,1.0.0,3.95,3.16,4.74,5.0,1.05,17.5,0.8987,7
5,1,2024-10-05,2024-09-28,xgboost_demand_v1,1.0.0,2.93,2.34,3.52,2.0,0.93,31.0,0.8919,7
6,1,2024-10-06,2024-09-29,xgboost_demand_v1,1.0.0,1.96,1.57,2.35,1.0,0.96,48.0,0.744,7
7,1,2024-10-07,2024-09-30,xgboost_demand_v1,1.0.0,4.34,3.47,5.21,2.0,2.34,78.0,0.9869,7
8,1,2024-10-08,2024-10-01,xgboost_demand_v1,1.0.0,4.34,3.47,5.21,3.0,1.34,33.5,0.9859,7
9,1,2024-10-09,2024-10-02,xgboost_demand_v1,1.0.0,4.92,3.94,5.9,6.0,1.08,15.4286,0.8824,7
10,1,2024-10-10,2024-10-03,xgboost_demand_v1,1.0.0,4.21,3.37,5.05,1.0,3.21,100.0,0.9569,7
11,1,2024-10-11,2024-10-04,xgboost_demand_v1,1.0.0,4.12,3.3,4.94,1.0,3.12,100.0,0.9371,7
12,1,2024-10-12,2024-10-05,xgboost_demand_v1,1.0.0,2.87,2.3,3.44,4.0,1.13,22.6,0.9147,7
13,1,2024-10-13,2024-10-06,xgboost_demand_v1,1.0.0,2.76,2.21,3.31,3.0,0.24,6.0,0.9544,7
14,1,2024-10-14,2024-10-07,xgboost_demand_v1,1.0.0,5.13,4.1,6.16,4.0,1.13,22.6,0.8337,7
15,1,2024-10-15,2024-10-08,xgboost_demand_v1,1.0.0,4.25,3.4,5.1,5.0,0.75,12.5,0.9663,7
16,1,2024-10-16,2024-10-09,xgboost_demand_v1,1.0.0,4.13,3.3,4.96,5.0,0.87,14.5,0.9383,7
17,1,2024-10-17,2024-10-10,xgboost_demand_v1,1.0.0,4.03,3.22,4.84,5.0,0.97,16.1667,0.9169,7
18,1,2024-10-18,2024-10-11,xgboost_demand_v1,1.0.0,4.69,3.75,5.63,3.0,1.69,42.25,0.9342,7
19,1,2024-10-19,2024-10-12,xgboost_demand_v1,1.0.0,3.1,2.48,3.72,1.0,2.1,100.0,0.8244,7
20,1,2024-10-20,2024-10-13,xgboost_demand_v1,1.0.0,2.09,1.67,2.51,2.0,0.09,3.0,0.791,7
21,1,2024-10-21,2024-10-14,xgboost_demand_v1,1.0.0,4.65,3.72,5.58,4.0,0.65,13.0,0.9423,7
22,1,2024-10-22,2024-10-15,xgboost_demand_v1,1.0.0,4.33,3.46,5.2,5.0,0.67,11.1667,0.9852,7
23,1,2024-10-23,2024-10-16,xgboost_demand_v1,1.0.0,4.42,3.54,5.3,2.0,2.42,80.6667,0.99,7
24,1,2024-10-24,2024-10-17,xgboost_demand_v1,1.0.0,5.09,4.07,6.11,5.0,0.09,1.5,0.8435,7
25,1,2024-10-25,2024-10-18,xgboost_demand_v1,1.0.0,4.9,3.92,5.88,1.0,3.9,100.0,0.8874,7
26,1,2024-10-26,2024-10-19,xgboost_demand_v1,1.0.0,2.97,2.38,3.56,1.0,1.97,98.5,0.8742,7
27,1,2024-10-27,2024-10-20,xgboost_demand_v1,1.0.0,2.77,2.22,3.32,2.0,0.77,25.6667,0.9516,7
28,1,2024-10-28,2024-10-21,xgboost_demand_v1,1.0.0,4.54,3.63,5.45,4.0,0.54,10.8,0.9692,7
29,1,2024-10-29,2024-10-22,xgboost_demand_v1,1.0.0,4.75,3.8,5.7,5.0,0.25,4.1667,0.9214,7
30,1,2024-10-30,2024-10-23,xgboost_demand_v1,1.0.0,5.72,4.58,6.86,5.0,0.72,12.0,0.7006,7
31,1,2024-10-31,2024-10-24,xgboost_demand_v1,1.0.0,4.45,3.56,5.34,4.0,0.45,9.0,0.9876,7
32,1,2024-11-01,2024-10-25,xgboost_demand_v1,1.0.0,5.78,4.62,6.94,2.0,3.78,100.0,0.9672,7
33,1,2024-11-02,2024-10-26,xgboost_demand_v1,1.0.0,3.09,2.47,3.71,1.0,2.09,100.0,0.9196,7
34,1,2024-11-03,2024-10-27,xgboost_demand_v1,1.0.0,2.67,2.14,3.2,2.0,0.67,22.3333,0.7941,7
35,1,2024-11-04,2024-10-28,xgboost_demand_v1,1.0.0,6.43,5.14,7.72,6.0,0.43,6.1429,0.8524,7
36,1,2024-11-05,2024-10-29,xgboost_demand_v1,1.0.0,5.46,4.37,6.55,5.0,0.46,7.6667,0.9745,7
37,1,2024-11-06,2024-10-30,xgboost_demand_v1,1.0.0,6.03,4.82,7.24,3.0,3.03,75.75,0.9233,7
38,1,2024-11-07,2024-10-31,xgboost_demand_v1,1.0.0,5.81,4.65,6.97,3.0,2.81,70.25,0.9633,7
39,1,2024-11-08,2024-11-01,xgboost_demand_v1,1.0.0,6.58,5.26,7.9,3.0,3.58,89.5,0.8251,7
40,1,2024-11-09,2024-11-02,xgboost_demand_v1,1.0.0,3.24,2.59,3.89,1.0,2.24,100.0,0.963,7
41,1,2024-11-10,2024-11-03,xgboost_demand_v1,1.0.0,2.81,2.25,3.37,5.0,2.19,36.5,0.8358,7
42,1,2024-11-11,2024-11-04,xgboost_demand_v1,1.0.0,6.51,5.21,7.81,2.0,4.51,100.0,0.8383,7
43,1,2024-11-12,2024-11-05,xgboost_demand_v1,1.0.0,5.79,4.63,6.95,2.0,3.79,100.0,0.9657,7
44,1,2024-11-13,2024-11-06,xgboost_demand_v1,1.0.0,5.68,4.54,6.82,3.0,2.68,67.0,0.9855,7
45,1,2024-11-14,2024-11-07,xgboost_demand_v1,1.0.0,4.16,3.33,4.99,3.0,1.16,29.0,0.7435,7
46,1,2024-11-15,2024-11-08,xgboost_demand_v1,1.0.0,5.99,4.79,7.19,10.0,4.01,36.4545,0.9304,7
47,1,2024-11-16,2024-11-09,xgboost_demand_v1,1.0.0,2.65,2.12,3.18,3.0,0.35,8.75,0.7877,7
48,1,2024-11-17,2024-11-10,xgboost_demand_v1,1.0.0,3.72,2.98,4.46,1.0,2.72,100.0,0.8933,7
49,1,2024-11-18,2024-11-11,xgboost_demand_v1,1.0.0,5.39,4.31,6.47,2.0,3.39,100.0,0.9618,7
50,1,2024-11-19,2024-11-12,xgboost_demand_v1,1.0.0,5.95,4.76,7.14,2.0,3.95,100.0,0.938,7
51,1,2024-11-20,2024-11-13,xgboost_demand_v1,1.0.0,5.61,4.49,6.73,3.0,2.61,65.25,0.99,7
52,1,2024-11-21,2024-11-14,xgboost_demand_v1,1.0.0,5.37,4.3,6.44,2.0,3.37,100.0,0.9591,7
