inventory_id,product_id,snapshot_date,warehouse_id,quantity_on_hand,quantity_reserved,reorder_triggered,unit_cost_snapshot,created_at
1,1,2024-01-01,WH-002,127,6,False,646.83,2024-01-01
2,1,2024-01-02,WH-002,124,6,False,632.92,2024-01-02
3,1,2024-01-03,WH-002,121,28,False,625.39,2024-01-03
4,1,2024-01-04,WH-002,120,12,False,642.58,2024-01-04
5,1,2024-01-05,WH-002,119,6,False,612.51,2024-01-05
6,1,2024-01-06,WH-002,116,23,False,640.27,2024-01-06
7,1,2024-01-07,WH-002,115,13,False,614.79,2024-01-07
8,1,2024-01-08,WH-002,114,8,False,636.72,2024-01-08
9,1,2024-01-09,WH-002,112,15,False,645.98,2024-01-09
10,1,2024-01-10,WH-002,111,21,False,642.83,2024-01-10
11,1,2024-01-11,WH-002,109,6,False,624.24,2024-01-11
12,1,2024-01-12,WH-002,108,6,False,643.29,2024-01-12
13,1,2024-01-13,WH-002,107,16,False,626.63,2024-01-13
14,1,2024-01-14,WH-002,106,13,False,617.99,2024-01-14
15,1,2024-01-15,WH-002,106,10,False,641.34,2024-01-15
16,1,2024-01-16,WH-002,106,2,False,621.12,2024-01-16
17,1,2024-01-17,WH-002,106,24,False,629.61,2024-01-17
18,1,2024-01-18,WH-002,106,18,False,618.26,2024-01-18
19,1,2024-01-19,WH-002,106,21,False,622.49,2024-01-19
20,1,2024-01-20,WH-002,106,3,False,611.61,2024-01-20
21,1,2024-01-21,WH-002,106,7,False,620.11,2024-01-21
22,1,2024-01-22,WH-002,106,22,False,645.88,2024-01-22
23,1,2024-01-23,WH-002,106,21,False,632.3,2024-01-23
24,1,2024-01-24,WH-002,106,10,False,625.98,2024-01-24
25,1,2024-01-25,WH-002,104,17,False,621.8,2024-01-25
26,1,2024-01-26,WH-002,102,4,False,636.64,2024-01-26
27,1,2024-01-27,WH-002,101,1,False,632.52,2024-01-27
28,1,2024-01-28,WH-002,99,16,False,619.03,2024-01-28
29,1,2024-01-29,WH-002,97,9,False,611.56,2024-01-29
30,1,2024-01-30,WH-002,96,5,False,647.42,2024-01-30
31,1,2024-01-31,WH-002,93,15,False,627.15,2024-01-31
32,1,2024-02-01,WH-002,89,11,False,618.97,2024-02-01
33,1,2024-02-02,WH-002,88,19,False,614.45,2024-02-02
34,1,2024-02-03,WH-002,85,15,False,622.42,2024-02-03
35,1,2024-02-04,WH-002,84,20,False,648.63,2024-02-04
36,1,2024-02-05,WH-002,82,5,False,633.55,2024-02-05
37,1,2024-02-06,WH-002,81,16,False,641.47,2024-02-06
38,1,2024-02-07,WH-002,79,13,False,635.45,2024-02-07
39,1,2024-02-08,WH-002,77,3,False,633.77,2024-02-08
40,1,2024-02-09,WH-002,75,5,False,612.5,2024-02-09
41,1,2024-02-10,WH-002,74,11,False,616.26,2024-02-10
42,1,2024-02-11,WH-002,74,7,False,612.98,2024-02-11
43,1,2024-02-12,WH-002,73,6,False,637.23,2024-02-12
44,1,2024-02-13,WH-002,70,11,True,623.61,2024-02-13
45,1,2024-02-14,WH-002,65,7,False,645.26,2024-02-14
46,1,2024-02-15,WH-002,63,3,False,648.66,2024-02-15
47,1,2024-02-16,WH-002,61,11,False,648.02,2024-02-16
48,1,2024-02-17,WH-002,60,13,False,618.64,2024-02-17
49,1,2024-02-18,WH-002,59,14,False,616.61,2024-02-18
50,1,2024-02-19,WH-002,56,11,False,620.22,2024-02-19
51,1,2024-02-20,WH-002,53,4,False,644.07,2024-02-20
52,1,2024-02-21,WH-002,49,1,False,612.66,2024-02-21
53,1,2024-02-22,WH-002,45,5,False,624.75,2024-02-22
54,1,2024-02-23,WH-002,42,1,False,647.23,2024-02-23
55,1,2024-02-24,WH-002,182,16,False,620.51,2024-02-24
56,1,2024-02-25,WH-002,179,32,False,623.74,2024-02-25
57,1,2024-02-26,WH-002,175,2,False,637.31,2024-02-26
58,1,2024-02-27,WH-002,173,11,False,648.16,2024-02-27
59,1,2024-02-28,WH-002,170,24,False,616.46,2024-02-28
60,1,2024-02-29,WH-002,169,13,False,638.0,2024-02-29
61,1,2024-03-01,WH-002,164,25,False,637.88,2024-03-01
62,1,2024-03-02,WH-002,162,19,False,643.82,2024-03-02
63,1,2024-03-03,WH-002,161,14,False,631.57,2024-03-03
64,1,2024-03-04,WH-002,158,30,False,646.2,2024-03-04
65,1,2024-03-05,WH-002,157,16,False,637.47,2024-03-05
66,1,2024-03-06,WH-002,156,10,False,628.24,2024-03-06
67,1,2024-03-07,WH-002,153,19,False,634.19,2024-03-07
68,1,2024-03-08,WH-002,150,15,False,616.96,2024-03-08
69,1,2024-03-09,WH-002,149,22,False,625.04,2024-03-09
70,1,2024-03-10,WH-002,149,3,False,642.22,2024-03-10
71,1,2024-03-11,WH-002,146,35,False,646.21,2024-03-11
72,1,2024-03-12,WH-002,144,21,False,625.93,2024-03-12
73,1,2024-03-13,WH-002,142,27,False,637.01,2024-03-13
74,1,2024-03-14,WH-002,140,12,False,641.78,2024-03-14
75,1,2024-03-15,WH-002,137,14,False,621.36,2024-03-15
76,1,2024-03-16,WH-002,136,6,False,619.01,2024-03-16
77,1,2024-03-17,WH-002,135,9,False,616.4,2024-03-17
78,1,2024-03-18,WH-002,133,10,False,647.39,2024-03-18
79,1,2024-03-19,WH-002,131,9,False,639.75,2024-03-19
80,1,2024-03-20,WH-002,130,32,False,637.63,2024-03-20
81,1,2024-03-21,WH-002,127,28,False,617.44,2024-03-21
82,1,2024-03-22,WH-002,125,6,False,614.69,2024-03-22
83,1,2024-03-23,WH-002,124,6,False,634.13,2024-03-23
84,1,2024-03-24,WH-002,123,2,False,616.85,2024-03-24
85,1,2024-03-25,WH-002,121,2,False,626.25,2024-03-25
86,1,2024-03-26,WH-002,120,28,False,612.71,2024-03-26
87,1,2024-03-27,WH-002,117,23,False,645.23,2024-03-27
88,1,2024-03-28,WH-002,110,25,False,617.51,2024-03-28
89,1,2024-03-29,WH-002,109,17,False,619.34,2024-03-29
90,1,2024-03-30,WH-002,108,22,False,620.71,2024-03-30
91,1,2024-03-31,WH-002,105,10,False,637.22,2024-03-31
92,1,2024-04-01,WH-002,104,7,False,623.02,2024-04-01
93,1,2024-04-02,WH-002,101,4,False,620.15,2024-04-02
94,1,2024-04-03,WH-002,98,3,False,612.42,2024-04-03
95,1,2024-04-04,WH-002,95,10,False,648.8,2024-04-04
96,1,2024-04-05,WH-002,92,1,False,624.75,2024-04-05
97,1,2024-04-06,WH-002,91,11,False,639.89,2024-04-06
98,1,2024-04-07,WH-002,90,16,False,630.19,2024-04-07
99,1,2024-04-08,WH-002,89,4,False,634.89,2024-04-08
100,1,2024-04-09,WH-002,84,18,False,645.79,2024-04-09
101,1,2024-04-10,WH-002,82,8,False,614.07,2024-04-10
102,1,2024-04-11,WH-002,81,12,False,618.45,2024-04-11
103,1,2024-04-12,WH-002,78,0,False,645.73,2024-04-12
104,1,2024-04-13,WH-002,76,7,False,645.51,2024-04-13
105,1,2024-04-14,WH-002,74,4,False,620.04,2024-04-14
106,1,2024-04-15,WH-002,71,7,True,631.05,2024-04-15
107,1,2024-04-16,WH-002,69,6,False,614.14,2024-04-16
108,1,2024-04-17,WH-002,67,5,False,646.05,2024-04-17
109,1,2024-04-18,WH-002,64,8,False,643.2,2024-04-18
110,1,2024-04-19,WH-002,62,10,False,616.64,2024-04-19
111,1,2024-04-20,WH-002,62,10,False,628.91,2024-04-20
112,1,2024-04-21,WH-002,62,10,False,640.31,2024-04-21
113,1,2024-04-22,WH-002,59,6,False,616.25,2024-04-22
114,1,2024-04-23,WH-002,54,12,False,635.62,2024-04-23
115,1,2024-04-24,WH-002,53,5,False,629.37,2024-04-24
116,1,2024-04-25,WH-002,51,5,False,626.83,2024-04-25
117,1,2024-04-26,WH-002,190,10,False,623.01,2024-04-26
118,1,2024-04-27,WH-002,189,1,False,644.1,2024-04-27
119,1,2024-04-28,WH-002,188,0,False,642.18,2024-04-28
120,1,2024-04-29,WH-002,187,31,False,627.59,2024-04-29
121,1,2024-04-30,WH-002,182,14,False,636.45,2024-04-30
122,1,2024-05-01,WH-002,181,40,False,645.08,2024-05-01
123,1,2024-05-02,WH-002,179,5,False,637.36,2024-05-02
124,1,2024-05-03,WH-002,178,21,False,618.76,2024-05-03
125,1,2024-05-04,WH-002,177,1,False,617.25,2024-05-04
126,1,2024-05-05,WH-002,176,16,False,619.15,2024-05-05
127,1,2024-05-06,WH-002,173,5,False,626.8,2024-05-06
128,1,2024-05-07,WH-002,171,17,False,643.71,2024-05-07
129,1,2024-05-08,WH-002,170,5,False,616.89,2024-05-08
130,1,2024-05-09,WH-002,170,20,False,647.74,2024-05-09
